11:49:15 [SESSION] logging to C:\Users\user\Documents\avigilon-ptz-dashboard\backend\logs\session-20260714-114915-9556.log
11:54:34 [VIDEO] capture loop starting, stream_url='rtsp://administrator:123456@169.254.50.189/rtsp/defaultPrimary?streamType=u'
11:54:34 [VIDEO] opening capture: 'rtsp://administrator:123456@169.254.50.189/rtsp/defaultPrimary?streamType=u'
11:54:40 [VIDEO] capture opened successfully
11:54:42 [DETECT] inference took 2.80s
11:54:43 [DETECT] inference took 0.25s
11:54:44 [DETECT] inference took 0.25s
11:54:45 [DETECT] inference took 0.27s
11:54:46 [DETECT] inference took 0.25s
11:54:47 [DETECT] inference took 0.25s
11:54:48 [DETECT] inference took 0.30s
11:54:49 [DETECT] inference took 0.27s
11:54:50 [DETECT] inference took 0.24s
11:54:51 [DETECT] inference took 0.25s
11:54:52 [DETECT] inference took 0.30s
11:54:53 [DETECT] inference took 0.34s
11:54:54 [DETECT] inference took 0.23s
11:54:55 [DETECT] inference took 0.22s
11:54:56 [DETECT] inference took 0.23s
11:54:57 [DETECT] inference took 0.23s
11:54:58 [DETECT] inference took 0.22s
11:54:59 [DETECT] inference took 0.31s
11:55:00 [DETECT] inference took 0.25s
11:55:01 [DETECT] inference took 0.27s
11:55:02 [DETECT] inference took 0.22s
11:55:03 [DETECT] inference took 0.23s
11:55:04 [DETECT] inference took 0.20s
11:55:05 [DETECT] inference took 0.22s
11:55:06 [DETECT] inference took 0.20s
11:55:07 [DETECT] inference took 0.22s
11:55:08 [DETECT] inference took 0.22s
11:55:09 [DETECT] inference took 0.22s
11:55:10 [DETECT] inference took 0.22s
11:55:11 [DETECT] inference took 0.23s
11:55:12 [DETECT] inference took 0.23s
11:55:13 [DETECT] inference took 0.22s
11:55:14 [DETECT] inference took 0.23s
11:55:15 [DETECT] inference took 0.23s
11:55:16 [DETECT] inference took 0.22s
11:55:17 [DETECT] inference took 0.22s
11:55:18 [DETECT] inference took 0.22s
11:55:19 [DETECT] inference took 0.34s
11:55:20 [DETECT] inference took 0.22s
11:55:21 [DETECT] inference took 0.22s
11:55:22 [DETECT] inference took 0.23s
11:55:23 [DETECT] inference took 0.22s
11:55:24 [DETECT] inference took 0.34s
11:55:25 [DETECT] inference took 0.23s
11:55:26 [DETECT] inference took 0.20s
11:55:27 [DETECT] inference took 0.23s
11:55:28 [DETECT] inference took 0.22s
11:55:29 [DETECT] inference took 0.22s
11:55:30 [DETECT] inference took 0.22s
11:55:31 [DETECT] inference took 0.22s
11:55:32 [DETECT] inference took 0.25s
11:55:33 [DETECT] inference took 0.25s
11:55:34 [DETECT] inference took 0.25s
11:55:35 [DETECT] inference took 0.25s
11:55:36 [DETECT] inference took 0.23s
11:55:37 [DETECT] inference took 0.22s
11:55:38 [DETECT] inference took 0.22s
11:55:39 [DETECT] inference took 0.20s
11:55:40 [DETECT] inference took 0.23s
11:55:41 [DETECT] inference took 0.23s
11:55:42 [DETECT] inference took 0.22s
11:55:43 [DETECT] inference took 0.20s
11:55:44 [DETECT] inference took 0.22s
11:55:45 [DETECT] inference took 0.25s
11:55:46 [DETECT] inference took 0.23s
11:55:47 [DETECT] inference took 0.23s
11:55:48 [DETECT] inference took 0.22s
11:55:49 [DETECT] inference took 0.23s
11:55:50 [DETECT] inference took 0.38s
11:55:51 [DETECT] inference took 0.22s
11:55:52 [DETECT] inference took 0.20s
11:55:53 [DETECT] inference took 0.22s
11:55:54 [DETECT] inference took 0.23s
11:55:55 [DETECT] inference took 0.22s
11:55:56 [DETECT] inference took 0.22s
11:55:57 [DETECT] inference took 0.22s
11:55:58 [DETECT] inference took 0.22s
11:55:59 [DETECT] inference took 0.22s
11:56:00 [DETECT] inference took 0.23s
11:56:01 [DETECT] inference took 0.23s
11:56:02 [DETECT] inference took 0.22s
11:56:03 [DETECT] inference took 0.23s
11:56:04 [DETECT] inference took 0.22s
11:56:05 [DETECT] inference took 0.22s
11:56:06 [DETECT] inference took 0.23s
11:56:07 [DETECT] inference took 0.22s
11:56:08 [DETECT] inference took 0.20s
11:56:09 [DETECT] inference took 0.22s
11:56:10 [DETECT] inference took 0.22s
11:56:11 [DETECT] inference took 0.22s
11:56:12 [DETECT] inference took 0.22s
11:56:13 [DETECT] inference took 0.22s
11:56:14 [DETECT] inference took 0.20s
11:56:15 [DETECT] inference took 0.22s
11:56:16 [DETECT] inference took 0.28s
11:56:17 [DETECT] inference took 0.20s
11:56:18 [DETECT] inference took 0.22s
11:56:19 [DETECT] inference took 0.22s
11:56:20 [DETECT] inference took 0.22s
11:56:21 [DETECT] inference took 0.38s
11:56:22 [DETECT] inference took 0.22s
11:56:23 [DETECT] inference took 0.22s
11:56:24 [DETECT] inference took 0.22s
11:56:25 [DETECT] inference took 0.23s
11:56:26 [DETECT] inference took 0.20s
11:56:27 [DETECT] inference took 0.22s
11:56:28 [DETECT] inference took 0.22s
11:56:29 [DETECT] inference took 0.22s
11:56:30 [DETECT] inference took 0.22s
11:56:31 [DETECT] inference took 0.22s
11:56:32 [DETECT] inference took 0.22s
11:56:33 [DETECT] inference took 0.22s
11:56:34 [DETECT] inference took 0.23s
11:56:35 [DETECT] inference took 0.23s
11:56:36 [DETECT] inference took 0.22s
11:56:37 [DETECT] inference took 0.22s
11:56:38 [DETECT] inference took 0.22s
11:56:39 [DETECT] inference took 0.23s
11:56:40 [DETECT] inference took 0.20s
11:56:41 [DETECT] inference took 0.23s
11:56:42 [DETECT] inference took 0.23s
11:56:43 [DETECT] inference took 0.22s
11:56:44 [DETECT] inference took 0.22s
11:56:45 [DETECT] inference took 0.22s
11:56:46 [DETECT] inference took 0.23s
11:56:47 [DETECT] inference took 0.34s
11:56:48 [DETECT] inference took 0.22s
11:56:49 [DETECT] inference took 0.22s
11:56:50 [DETECT] inference took 0.23s
11:56:51 [DETECT] inference took 0.22s
11:56:52 [DETECT] inference took 0.25s
11:56:53 [DETECT] inference took 0.23s
11:56:54 [DETECT] inference took 0.22s
11:56:55 [DETECT] inference took 0.22s
11:56:56 [DETECT] inference took 0.22s
11:56:57 [DETECT] inference took 0.23s
11:56:58 [DETECT] inference took 0.22s
11:56:59 [DETECT] inference took 0.22s
11:57:00 [DETECT] inference took 0.22s
11:57:01 [DETECT] inference took 0.22s
11:57:02 [DETECT] inference took 0.22s
11:57:03 [DETECT] inference took 0.23s
11:57:04 [DETECT] inference took 0.22s
11:57:05 [DETECT] inference took 0.22s
11:57:06 [DETECT] inference took 0.23s
11:57:07 [DETECT] inference took 0.23s
11:57:08 [DETECT] inference took 0.22s
11:57:09 [DETECT] inference took 0.23s
11:57:10 [DETECT] inference took 0.22s
11:57:11 [DETECT] inference took 0.25s
11:57:12 [DETECT] inference took 0.22s
11:57:13 [DETECT] inference took 0.25s
11:57:14 [DETECT] inference took 0.23s
11:57:15 [DETECT] inference took 0.22s
11:57:16 [DETECT] inference took 0.23s
11:57:17 [DETECT] inference took 0.22s
11:57:18 [DETECT] inference took 0.38s
11:57:19 [DETECT] inference took 0.22s
11:57:20 [DETECT] inference took 0.22s
11:57:21 [DETECT] inference took 0.31s
11:57:22 [DETECT] inference took 0.22s
11:57:23 [DETECT] inference took 0.25s
11:57:24 [DETECT] inference took 0.25s
11:57:25 [DETECT] inference took 0.31s
11:57:26 [DETECT] inference took 0.28s
11:57:27 [DETECT] inference took 0.20s
11:57:28 [DETECT] inference took 0.25s
11:57:29 [DETECT] inference took 0.24s
11:57:30 [DETECT] inference took 0.25s
11:57:31 [DETECT] inference took 0.34s
11:57:32 [DETECT] inference took 0.24s
11:57:33 [DETECT] inference took 0.22s
11:57:34 [DETECT] inference took 0.25s
11:57:35 [DETECT] inference took 0.22s
11:57:36 [DETECT] inference took 0.28s
11:57:37 [DETECT] inference took 0.27s
11:57:38 [DETECT] inference took 0.22s
11:57:39 [DETECT] inference took 0.25s
11:57:40 [DETECT] inference took 0.25s
11:57:41 [DETECT] inference took 0.25s
11:57:42 [DETECT] inference took 0.22s
